cid,class,year,metamer_rank,number_ramif,ramif_class
17345,I,99,0,1,D
17347,D,99,0,0,B
17341,I,98,1,1,D
17351,D,98,0,0,B
17341,I,98,2,0,B
17228,U,96,15,1,D
17356,I,98,0,1,D
17358,D,98,0,0,B
17356,I,98,1,0,B
17361,W,96,0,0,B
17361,W,96,1,0,B
17361,W,96,2,0,B
17361,W,96,3,0,B
17361,W,96,4,0,B
17361,W,96,5,0,B
17361,W,96,6,0,B
17361,W,96,7,0,B
17361,W,96,8,0,B
17361,W,96,9,1,D
17373,I,97,0,1,D
17375,D,97,0,0,B
17361,W,96,10,1,D
17379,I,97,0,1,D
17381,D,97,0,0,B
17383,I,98,0,1,D
17385,D,98,0,0,B
17387,I,99,0,1,D
17390,D,99,0,0,B
17387,I,99,1,1,D
17394,D,99,0,0,B
17361,W,96,11,1,D
17398,I,97,0,1,D
17401,D,97,0,0,B
17403,I,98,0,1,W
17405,W,98,0,0,B
17405,W,98,1,0,B
17405,W,98,2,0,B
17405,W,98,3,0,B
17405,W,98,4,0,B
17405,W,98,5,0,B
17412,I,99,0,1,D
17414,D,99,0,0,B
17403,I,98,1,0,B
17398,I,97,1,0,B
17361,W,96,12,1,D
17420,I,97,0,1,D
17422,D,97,0,0,B
17424,I,98,0,1,D
17426,D,98,0,0,B
17428,I,99,0,1,D
17431,D,99,0,0,B
17428,I,99,1,1,D
17435,D,99,0,0,B
17361,W,96,13,1,D
17439,I,97,0,1,D
17441,D,97,0,0,B
17443,I,98,0,1,D
17445,D,98,0,0,B
17447,I,99,0,1,D
17449,D,99,0,0,B
17361,W,96,14,0,B
17452,I,97,0,1,U
17455,U,97,0,0,B
17455,U,97,1,0,B
17455,U,97,2,0,B
17455,U,97,3,0,B
17455,U,97,4,0,B
17455,U,97,5,0,B
17455,U,97,6,0,B
17455,U,97,7,1,D
17465,I,98,0,1,D
17467,D,98,0,0,B
17469,I,99,0,1,D
17472,D,99,0,0,B
17469,I,99,1,0,B
17455,U,97,8,0,B
17477,I,98,0,0,B
17455,U,97,9,1,D
17481,I,98,0,1,D
17483,D,98,0,0,B
17455,U,97,10,1,D
17487,I,98,0,1,D
17489,D,98,0,0,B
17491,I,99,0,1,D
17494,D,99,0,0,B
17491,I,99,1,0,B
17455,U,97,11,1,D
17499,I,98,0,1,D
17501,D,98,0,0,B
17503,D,99,0,0,B
17499,I,98,1,0,B
17455,U,97,12,1,D
17508,I,98,0,1,D
17510,D,98,0,0,B
17512,I,99,0,1,D
17515,D,99,0,0,B
17512,I,99,1,1,D
17519,D,99,0,0,B
17455,U,97,13,0,B
17455,U,97,14,1,D
17524,I,98,0,1,D
17526,D,98,0,0,B
17528,D,99,0,0,B
17524,I,98,1,0,B
17455,U,97,15,0,B
17455,U,97,16,0,B
17533,I,98,0,1,W
17535,W,98,0,0,B
17535,W,98,1,0,B
17535,W,98,2,0,B
17535,W,98,3,0,B
17535,W,98,4,0,B
17535,W,98,5,0,B
17542,I,99,0,1,D
17544,D,99,0,0,B
17533,I,98,1,1,D
17548,D,98,0,0,B
17550,W,99,0,0,B
17550,W,99,1,0,B
17550,W,99,2,0,B
17550,W,99,3,0,B
17550,W,99,4,0,B
17550,W,99,5,0,B
17550,W,99,6,0,B
17550,W,99,7,0,B
17533,I,98,2,2,W
17533,I,98,3,0,B
17533,I,98,3,0,B
17562,I,96,0,1,U
17564,U,96,0,0,B
17564,U,96,1,0,B
17564,U,96,2,0,B
17564,U,96,3,0,B
17564,U,96,4,2,D
