name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X9256;5;38;WW;1.75515709;1.15324156;1.728477966;2.447714675;0.394253963;0.254868234
X9256;6;38;WD;1.877864214;0.824432944;2.017859149;3.666405747;0.402043;0.591572132
X9256;7;11;WW;2.4316198;1.374484442;2.307459006;2.756994593;0.839934507;0.531633924
X9256;8;11;WD;2.624085961;1.221897461;2.432107688;2.79002227;0.902764024;0.431928384
X9259;5;39;WW;2.238588874;0.817768792;3.135890356;3.078115629;0.807428209;0.841885209
X9259;6;39;WD;2.153850439;1.238648602;2.137104648;3.81985887;0.550181768;0.77117757
X9259;10;83;WD;3.229638933;1.282874829;2.11874972;2.988712081;0.714461689;0.795774041
X9267;5;40;WW;0.898457883;0.328674468;1.729012651;1.996334826;0.588179731;0.265676536
X9267;6;40;WD;1.067953988;0.476494032;1.736097391;2.581894777;0.559890579;0.145759181
X9267;9;71;WW;1.581277814;0.629456317;1.76074271;3.788295836;0.534562513;0.40730209
X9267;10;71;WD;0.928099186;0.453735474;1.705020687;2.566990628;0.573960882;0.184181751
X9389;5;41;WW;4.141632903;1.743037131;2.324907151;2.269565626;1.263464174;0.528873699
X9389;5;62;WW;5.196378687;1.876728821;2.780818537;3.222268811;1.016980229;0.753068706
X9389;6;41;WD;2.540366899;0.986964902;2.357434261;1.909833387;1.068228491;0.442118835
X9389;6;62;WD;4.079797477;1.299343812;2.42590498;2.921957002;0.875046502;0.820793695
X9391;5;42;WW;4.749054006;3.138782989;2.552328723;2.396643254;1.148035616;0.486660037
X9391;6;42;WD;2.168252691;0.942169615;2.130479549;2.039888201;0.82137818;0.460754066
X9391;9;3;WW;1.828723614;0.663611109;2.348227448;1.895914318;0.869302241;0.296712597
X9391;10;3;WD;4.159904614;2.016407852;2.0890323;2.507329257;0.930720777;0.488497487
X9421;5;43;WW;2.925737258;0.800664041;2.574610196;6.006126345;0.564895285;0.256046856
X9421;5;95;WW;4.996745365;1.334477813;3.024769989;9.131298435;0.556029201;0.427357677
