,Area,Area_leaf,Ei,Ei_leaf,delta_angle_top,incli_top,isolated,phyllotactic_angle,phyllotactic_deviation,plant_height,plant_orientation,rmax,skew,wl
5749,0.8232938336,0.6963495532,0.129860114502,0.146028869489,16.8148741321,23.2196488148,0.0,115.843448852,65.9802829227,268.594387027,84.691195231,0.870562761065,0.849565716303,0.451427582326
5750,0.7675184105,0.6966416997,0.139358480459,0.150749076527,153.642885723,69.5937440885,0.0,98.4442419857,16.2462182639,145.23291943,81.542355828,0.579019485946,0.486324756479,0.206238028518
5751,0.7740905776,0.6962707343,0.141571593577,0.142705319739,37.2784011886,51.8936969327,0.0,19.226078328,57.1507128993,160.514382962,15.196796176,0.248446741874,0.169171133052,0.0877994085775
5752,0.8365885753,0.6965122641,0.128632724242,0.146141683449,117.999270135,34.8113306131,0.0,35.8730356452,50.7492194544,297.484311395,22.3936641774,0.77118509905,0.050895733058,0.230046492845
5753,0.81025389,0.6964165962,0.133172048367,0.14851267227,0.435322693768,60.9041043434,0.0,166.196285777,84.1458708224,239.762336788,55.3820899183,0.710016768992,0.557431936508,0.42488259748
5754,0.7745304499,0.6965106141,0.125354849288,0.131864028638,236.220227832,71.1806101462,0.0,0.937832083155,50.0636768384,160.954847209,41.2046966945,0.266291140452,0.979733729072,0.339077409699
5755,0.741127169,0.6964614735,0.149158573015,0.15604975299,108.350129078,45.0125502354,0.0,69.3251430696,83.3841187458,87.5037469395,86.9063182237,0.334645581167,0.285996674387,0.18511788452
5756,0.8190523644,0.6966065467,0.130396467269,0.145515433808,78.5404531303,31.9641659553,0.0,166.752310715,73.5868690076,258.700007179,59.0346546903,0.595842023115,0.316254640703,0.463987091931
5757,0.7333522424,0.696574578,0.1515152435,0.158632091378,74.9604380699,24.9760557185,0.0,153.956629043,68.0281406994,70.0946420505,49.10544051,0.314885064055,0.83865184258,0.0430825626025
5758,0.8084076413,0.6966338965,0.13490913437,0.151068946267,150.118970733,57.2712111587,0.0,133.61005036,61.6575196537,235.220706283,29.9548238592,0.350950316557,0.776892431985,0.378947511181
5759,0.8063199472,0.6964565805,0.136520849643,0.154286062289,218.362766073,62.2205135718,0.0,44.1685951546,63.5989352998,231.01865814,47.0448082772,0.810975586576,0.107739710031,0.234060110753
