cid,class,year,metamer_rank,number_ramif,ramif_class
10220,W,98,1,0,B
10220,W,98,2,0,B
10220,W,98,3,0,B
10220,W,98,4,0,B
10226,I,99,0,1,W
10229,W,99,0,0,B
10229,W,99,1,0,B
10229,W,99,2,0,B
10229,W,99,3,0,B
10226,I,99,1,0,B
10067,U,96,15,1,D
10237,D,97,0,0,B
10239,D,98,0,0,B
10241,I,99,0,1,D
10243,D,99,0,0,B
10067,U,96,16,0,B
10067,U,96,17,0,B
10067,U,96,18,0,B
10067,U,96,19,0,B
10067,U,96,20,1,D
10251,D,99,0,0,B
10067,U,96,21,0,B
10067,U,96,22,0,B
10067,U,96,23,0,B
10067,U,96,24,0,B
10067,U,96,25,0,B
10067,U,96,26,0,B
10067,U,96,27,0,B
10067,U,96,28,0,B
10261,U,96,0,0,B
10261,U,96,1,0,B
10261,U,96,2,0,B
10261,U,96,3,0,B
10261,U,96,4,0,B
10261,U,96,5,0,B
10261,U,96,6,0,B
10261,U,96,7,1,D
10271,D,97,0,0,B
10261,U,96,8,0,B
10261,U,96,9,0,B
10261,U,96,10,1,I
10277,I,97,0,0,B
10261,U,96,11,1,I
10281,I,97,0,1,W
10284,W,97,0,0,B
10284,W,97,1,0,B
10284,W,97,2,0,B
10284,W,97,3,0,B
10284,W,97,4,1,D
10291,D,98,0,0,B
10293,D,99,0,0,B
10284,W,97,5,0,B
10284,W,97,6,0,B
10284,W,97,7,1,D
10299,D,98,0,0,B
10301,I,99,0,1,D
10304,D,99,0,0,B
10301,I,99,1,0,B
10284,W,97,8,0,B
10284,W,97,9,0,B
10284,W,97,10,0,B
10310,I,98,0,1,W
10313,W,98,0,0,B
10313,W,98,1,0,B
10313,W,98,2,0,B
10313,W,98,3,0,B
10313,W,98,4,0,B
10313,W,98,5,1,D
10321,D,99,0,0,B
10313,W,98,6,1,I
10325,I,99,0,1,D
10327,D,99,0,0,B
10313,W,98,7,1,D
10331,D,99,0,0,B
10313,W,98,8,0,B
10313,W,98,9,0,B
10313,W,98,10,0,B
10336,I,99,0,1,W
10339,W,99,0,0,B
10339,W,99,1,0,B
10339,W,99,2,0,B
10339,W,99,3,0,B
10339,W,99,4,0,B
10339,W,99,5,0,B
10336,I,99,1,0,B
10281,I,97,1,0,B
10281,I,97,2,0,B
10281,I,97,3,1,D
10351,D,98,0,0,B
10281,I,97,4,0,B
10261,U,96,12,1,I
10356,I,97,0,1,D
10358,D,97,0,0,B
10358,D,97,1,0,B
10358,D,97,2,0,B
10358,D,97,3,0,B
10358,D,97,4,0,B
10358,D,97,5,0,B
10261,U,96,13,1,D
10367,D,99,0,0,B
10261,U,96,14,0,B
10370,I,97,0,1,U
10373,U,97,0,0,B
10373,U,97,1,0,B
10373,U,97,2,0,B
10373,U,97,3,0,B
10373,U,97,4,0,B
10373,U,97,5,1,D
10381,D,98,0,0,B
10383,I,99,0,1,W
10385,W,99,0,0,B
10385,W,99,1,0,B
10385,W,99,2,0,B
10385,W,99,3,0,B
10385,W,99,4,0,B
10373,U,97,6,1,D
10393,D,98,0,0,B
10395,I,99,0,0,B
10395,I,99,1,0,B
10373,U,97,7,0,B
10373,U,97,8,1,D
10401,D,99,0,0,B
10373,U,97,9,1,D
10405,D,99,0,0,B
10373,U,97,10,0,B
10373,U,97,11,1,D
10410,D,98,0,0,B
10373,U,97,12,0,B
10373,U,97,13,0,B
10373,U,97,14,1,D
10416,D,98,0,0,B
10418,D,99,0,0,B
10373,U,97,15,0,B
10373,U,97,16,0,B
10373,U,97,17,0,B
10373,U,97,18,0,B
10424,U,98,0,0,B
10424,U,98,1,0,B
10424,U,98,2,0,B
10424,U,98,3,0,B
10424,U,98,4,0,B
10424,U,98,5,0,B
10424,U,98,6,0,B
10424,U,98,7,0,B
10424,U,98,8,0,B
10424,U,98,9,0,B
10424,U,98,10,0,B
10424,U,98,11,1,I
10438,I,99,0,0,B
10438,I,99,1,0,B
10424,U,98,12,1,I
10443,I,99,0,1,W
10445,W,99,0,0,B
10445,W,99,1,0,B
10445,W,99,2,0,B
10445,W,99,3,0,B
10424,U,98,13,0,B
10424,U,98,14,1,I
10453,I,99,0,1,D
10455,D,99,0,0,B
10424,U,98,15,0,B
10424,U,98,16,1,I
10460,I,99,0,1,W
10462,W,99,0,0,B
10462,W,99,1,0,B
10462,W,99,2,0,B
10424,U,98,17,1,I
10468,I,99,0,1,D
10471,D,99,0,0,B
10468,I,99,1,0,B
10424,U,98,18,0,B
10424,U,98,19,1,I
10477,I,99,0,1,D
10479,D,99,0,0,B
10424,U,98,20,0,B
10482,I,99,0,1,W
10485,W,99,0,0,B
10485,W,99,1,0,B
10485,W,99,2,0,B
10485,W,99,3,0,B
10485,W,99,4,0,B
10482,I,99,1,0,B
10062,I,95,1,1,D
10493,D,95,0,0,B
10495,I,96,0,1,U
10497,U,96,0,0,B
10497,U,96,1,0,B
10497,U,96,2,0,B
10497,U,96,3,1,D
10503,D,97,0,0,B
10505,D,98,0,0,B
10507,I,99,0,1,D
10509,D,99,0,0,B
10497,U,96,4,1,D
10513,D,97,0,0,B
10497,U,96,5,1,D
10517,D,97,0,0,B
10519,D,98,0,0,B
10521,I,99,0,1,D
10523,D,99,0,0,B
10497,U,96,6,1,D
10527,D,97,0,0,B
10529,D,98,0,0,B
10531,I,99,0,0,B
10497,U,96,7,1,D
10535,D,97,0,0,B
10537,D,98,0,0,B
10539,I,99,0,0,B
10497,U,96,8,1,D
10543,D,97,0,0,B
10545,I,98,0,1,D
10547,D,98,0,0,B
10549,D,99,0,0,B
10497,U,96,9,1,D
10553,D,97,0,0,B
10555,D,98,0,0,B
10557,I,99,0,1,W
10560,W,99,0,0,B
10560,W,99,1,0,B
10560,W,99,2,0,B
10560,W,99,3,0,B
10560,W,99,4,0,B
10557,I,99,1,0,B
10497,U,96,10,1,D
10569,D,97,0,0,B
10571,D,98,0,0,B
10573,I,99,0,1,D
10575,D,99,0,0,B
10497,U,96,11,1,D
10579,D,97,0,0,B
10581,D,98,0,0,B
10583,I,99,0,0,B
10583,I,99,1,0,B
10497,U,96,12,1,I
10588,I,97,0,1,D
10590,D,97,0,0,B
10592,I,98,0,1,D
10595,D,98,0,0,B
10597,W,99,0,0,B
10597,W,99,1,0,B
10597,W,99,2,0,B
10597,W,99,3,0,B
10592,I,98,1,0,B
10497,U,96,13,1,D
10605,D,97,0,0,B
10497,U,96,14,0,B
10497,U,96,15,1,U
10610,U,97,0,0,B
10610,U,97,1,0,B
10610,U,97,2,0,B
10610,U,97,3,1,D
10616,D,98,0,0,B
10610,U,97,4,0,B
10610,U,97,5,0,B
10610,U,97,6,1,D
10622,D,98,0,0,B
10624,I,99,0,0,B
10610,U,97,7,1,D
10628,D,99,0,0,B
10610,U,97,8,0,B
10610,U,97,9,1,D
10633,D,98,0,0,B
10635,D,99,0,0,B
10610,U,97,10,0,B
10610,U,97,11,1,D
10640,D,99,0,0,B
10610,U,97,12,1,D
10644,D,99,0,0,B
10610,U,97,13,1,D
10648,D,99,0,0,B
10610,U,97,14,0,B
10610,U,97,15,0,B
10610,U,97,16,0,B
10610,U,97,17,0,B
10610,U,97,18,0,B
10610,U,97,19,0,B
10610,U,97,20,0,B
10610,U,97,21,0,B
10610,U,97,22,0,B
10659,W,98,0,0,B
10659,W,98,1,0,B
10659,W,98,2,0,B
10659,W,98,3,0,B
10659,W,98,4,0,B
10659,W,98,5,1,I
10667,I,99,0,1,D
10669,D,99,0,0,B
10659,W,98,6,0,B
10659,W,98,7,0,B
10659,W,98,8,0,B
10659,W,98,9,0,B
10659,W,98,10,1,I
10677,I,99,0,1,D
10679,D,99,0,0,B
10659,W,98,11,0,B
10659,W,98,12,0,B
10659,W,98,13,0,B
10659,W,98,14,0,B
10685,I,99,0,1,W
10688,W,99,0,0,B
10688,W,99,1,0,B
10688,W,99,2,0,B
10685,I,99,1,0,B
10497,U,96,16,1,D
10695,D,97,0,0,B
10697,I,98,0,0,B
10497,U,96,17,0,B
10497,U,96,18,1,I
10702,I,97,0,1,D
10705,D,97,0,0,B
