#Pommier Melgueil Braeburn 64				
CODE :	FORM-A			
CLASSES:				
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION
$ 	0	FREE	FREE	IMPLICIT
P	1	FREE	FREE	EXPLICIT
R	2	PURELINEAR	FREE	IMPLICIT
M	2	PURELINEAR	FREE	IMPLICIT
S	2	PURELINEAR	FREE	IMPLICIT
I	3	FREE	FREE	EXPLICIT
U 	3	FREE	FREE	EXPLICIT
W	3	FREE	FREE	EXPLICIT
D 	3	FREE	FREE	EXPLICIT
E	4	FREE	FREE	EXPLICIT
F	4	FREE	FREE	EXPLICIT

DESCRIPTION :			
LEFT	RIGHT	RELTYPE	MAX
R	R,M,S	+	?
R	R,M,S	<	1
M	R,M,S	+	?
M	M,S	<	1
S	R,M,S	+	?
S	S	<	1
U	U,W,I,D	+	?
U	U,W,I,D	<	1
W	U,W,I,D	+	?
W	U,W,I,D	<	1
I	U,W,I,D	+	?
D	U,W,I,D	<	1
D	D, W	+	?
E	E,F	+	?
E	E,F	<	1


FEATURES:			
NAME	TYPE		
TopDia	REAL		
XX	REAL		
YY	REAL		
ZZ	REAL		
d98	REAL		
Nli98	INT		
x98	REAL		
y98	REAL		
z98	REAL		
d97	REAL		
rem	ALPHA		
Nli97	INT
x97	REAL
y97	REAL
z97	REAL
Nfruit	REAL
MS	REAL
fermete	REAL
IR	REAL
diam	REAL
hauteur	REAL
color	REAL
codeami	REAL
Poids	REAL
Densite	REAL
Hertz	REAL
Elson	REAL
lin	INT																																		

MTG:																																			
ENTITY-CODE								TopDia	XX	YY	ZZ	d98	Nli98	x98	y98	z98	d97	rem	Nli97	x97	y97	z97	Nfruit	MS	fermete	IR	diam	hauteur	color	codeami	Poids	Densite	Hertz	Elson	lin
			^<I98/E1+D98/E1										167	90.41	42.2	-107.42																			264
			^<I99/E1						105.02	-25.35	-109.26																								265
				+S1/D99/E1					106.19	-23.65	-109.03																								266
			^<F800																																267
		^<E25						89	102.21	-25.79	-112.56		168				86		59	-58.75	21.3	-112.88													268
		^<E26<I97/E1										10.3	169	85.88	43.15	-105.19	100		60	-60.82	21.9	-115.08													269
			+R1/U97/E1<<E5					61	108.06	-30.31	-110.19	6.5	170	85.34	43.96	-106.47	55		61	-64.35	23.26	-114.9													270
			^<E6<<E8										171																						271
				+S1/I98/E1+D98/E1									172	83.29	48.31	-97.74																			272
				^<D99/E1					112.22	-33.26	-104.27																								273
			^<E9										173																						274
				+S1/I98/E1+D98/E1									174	80.96	49.85	-96.68																			275
				^<D99/E1					114.93	-36.09	-104.29																								276
			^<E10									6	175	81.62	49.21	-95.38			62	-72.42	27.26	-116.93													277
				+S1/I98/E1+D98/E1									176	81.36	48.62	-93.53																			278
				^<I99/E1+D99/E1					112.45	-35.11	-99.37																								279
			^<E11										177																						280
				+S1/I98/E1+D98/E1									178	80.91	51.14	-92.08																			281
				^<I99/E1					117.14	-35.88	-99.03																								282
			^<E12										179																						283
				+S1/I98/E1									180	77.92	49.55	-90.11																			284
					+D98/E1								181	78.44	51.51	-90.13																			285
				^<F9									182																						286
			^<E13										183																						287
				+S1/I98/E1									184	79.62	51.08	-86.53																			288
				^<F10									185																						289
			^<E14										186																						290
				+S1/I98/E1									187	78.37	55	-84.78																			291
					+D98/E1								188	77.74	54.52	-85.31																			292
					^<D99/E1				121.78	-37.49	-91.69																								293
				^<F11									189																						294
			^<E15					48	119.57	-39.35	-92.17	5	190	77.98	52.59	-83.03	39		63	-79.56	32.71	-120.27													295
				+S1/I98/E1+D98/E1									191	76.25	52.46	-81.2																			296
				^<I99/E1					120.11	-41.79	-88.19																								297
					+S1/D99/E1				120.67	-42.03	-88.56																								298
				^<F9																															299
			^<E16										192																						300
				+S1/I98/E1+D98/E1									193	78	53.92	-79.11																			301
				^<I99/E1+D99/E1					122.55	-39.7	-87.28																								302
			^<E17										194																						303
				+S1/I98/E1+D98/E1									195	76.55	55.3	-80.8																			304
				^<I99/E1+D99/E1					123.65	-41.51	-89.91																								305
			^<E18<W97/E1<<E3										196				54		64	-82.75	34.88	-122.18													306
			^<W98/E1<<E5					49	126.3	-41.83	-90.81	5.1	197	77.02	55.78	-78.46																			307
			^<E6<E7										198																						308
				+S1/D98/E1									199	74.8	58.43	-79.08																			309
				^<D99/E1					124.91	-44.44	-89																								310
			^<E8<E9										200																						311
				+S1/D98/E1									201	74.69	58.53	-76.49																			312
				^<D99/E1					128.53	-43.39	-88.43																								313
			^<E10									5.9	202	75.7	59.49	-76.46																			314
				+S1/D99/E1					126.69	-45.65	-86.4																								315
			^<E11										203																						316
				+S1/D98/E1									204	73.88	61.76	-75.74																			317
				^<D99/E1					135.29	-45.55	-93.14																								318
			^<W98/E1<<E5					33	131.3	-45.09	-81.3	4.2	205	74.62	62.92	-73.69																			319
			^<E6																																320
				+S1/I99/E1+D99/E1					132.53	-45.7	-79.37																								321
			^<E7<E8																																322
				+S1/I99/E1+D99/E1					136.09	-46.13	-78.08																								323
			^<E9																																324
				+S1/I99/E1+D99/E1					135.94	-49.33	-77.71																								325
			^<E10									2.9	206	70.62	69.2	-68.02																			326
				+S1/I99/E1+D99/E1					136.68	-47.88	-74.36																								327
			^<E11																																328
				+S1/I99/E1+D99/E1					138.14	-50.26	-74.24																								329
			^<E12																																330
				+S1/I99/E1+D99/E1					137.45	-53.16	-71.83																								331
			^<E13<<E15										207	68.01	75.84	-64.33																			332
			^<I99/E1						137.74	-52.69	-67.92																								333
				+S1/D99/E1					137.98	-49.52	-66.09																								334
			^<F10																																335
		^<E2											208																						336
			+U97/E1<<E5					54	109.06	-33.27	-105.54	6.3	209	80.88	44.6	-105.06	55		65	-61.03	24.83	-116.84													337
			^<E6<E7										210																						338
				+S1/I98/E1+D98/E1									211	75.6	42.69	-107.48																			339
				^<I99/E1+D99/E1					102.68	-38.88	-111.11																								340
			^<E8<E9										212																						341
				+S1/I98/E1									213	74.96	40.66	-107.95																			342
